EstacionId,EstacionNombre,DomicilioCalle,DomicilioNro,DomicilioPiso,DomicilioDpto,DomicilioCPostal,DomicilioPaisId,DomicilioProvinciaId,DomicilioLocalidad,DomicilioCalleEntre1,DomicilioCalleEntre2,TelefonoArea1,TelefonoNumero1,TelefonoArea2,TelefonoNumero2,BicicletasMinimas,BicicletasMaximas,Cascos,CreateDate,cLat,cLong
1,EN TRANSITO,,0,NULL,NULL,,13,24,CAPITAL FEDERAL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,04/11/2010,NULL,NULL
2,DEPOSITO IRALA,IRALA,100,NULL,NULL,1414,13,24,CABA,NULL,NULL,11,4232-3232,NULL,NULL,0,0,-7,04/11/2010,NULL,NULL
3,RETIRO,AV. DR. J. RAMOS MEJIA,0,NULL,NULL,1002,13,24,CABA,AV. LIBERTADOR,GILARDI,11,3697-4188,NULL,NULL,0,60,27,04/11/2010,-34.592308,-58.37501
4,TALLER,RIVADAVIA,500,NULL,NULL,1002,13,24,CABA,NULL,NULL,11,1234-2358,NULL,NULL,0,0,NULL,04/11/2010,NULL,NULL
5,ADUANA,MORENO,300,NULL,NULL,1002,13,24,CABA,PASEO COLON,AZOPARDO,11,3697-4188,NULL,NULL,0,60,6,04/11/2010,-34.611365,-58.369077
6,DERECHO,AVENIDA FIGUEROA ALCORTA,2101,NULL,NULL,1001,13,24,CABA,F. ROMERO,J. V. GONZALEZ,11,3697-4984,NULL,NULL,0,20,66,20/11/2010,-34.583669,-58.391243
7,PLAZA ROMA,L. N. ALEM,500,NULL,NULL,1001,13,24,CABA,NULL,NULL,11,12345678,NULL,NULL,0,65,45,13/12/2010,-34.601599,-58.369421
8,PLAZA ITALIA,AV. SARMIENTO Y CALZADA CIRCULAR,1111,NULL,NULL,1111,13,24,CABA,NULL,NULL,11,36974892,11,1234567,0,20,22,03/01/2011,-34.580224,-58.420751
9,PARQUE LEZAMA,AV. MARTIN GARCIA E IRALA,111,NULL,NULL,1111,13,24,CABA,NULL,NULL,11,36974042,NULL,NULL,0,30,-3,03/01/2011,-34.628017,-58.369853
10,OBELISCO,9 DE JULIO,1111,NULL,NULL,111,13,24,CABA,J. D. PERON,NULL,11,36974422,NULL,NULL,0,34,17,11/01/2011,-34.606297,-58.381051
11,PARQUE ROCA,CALLE 1,1,1,1,1111,13,24,CABA,NULL,NULL,11,43238115,NULL,NULL,0,0,0,18/01/2011,NULL,NULL
12,PARQUE DE LOS NIÑOS,CALLE 2,2,2,2,2222,13,24,CABA,NULL,NULL,11,43238115,NULL,NULL,0,0,0,18/01/2011,NULL,NULL
14,BICIS DE MUESTRA,PASEO COLON,1111,NULL,NULL,1111,13,24,CABA,NULL,NULL,11,11111111,NULL,NULL,0,0,-19,24/01/2011,NULL,NULL
15,CONGRESO,VIRREY CEVALLOS E HIPOLITO YRIGOYEN,1111,NULL,NULL,1111,13,24,CABA,NULL,NULL,11,40272143,NULL,NULL,0,34,13,27/01/2011,-34.609829,-58.389289
16,PARQUE LAS HERAS,SOBRE CORONEL DIAZ ENTRE PEÑA Y FRENCH,1111,NULL,NULL,1111,13,24,CABA,NULL,NULL,11,36974749,NULL,NULL,0,0,48,10/02/2011,-34.58503,-58.407637
17,UCA PUERTO MADERO,ALICIA MOREAU DE JUSTO,1111,NULL,NULL,1111,13,24,CABA,Y CHILE,NULL,11,36974162,NULL,NULL,0,60,21,25/02/2011,-34.615974,-58.365666
18,TRIBUNALES,TUCUMAN Y TALCAHUANO,600,NULL,NULL,1002,13,24,CABA,NULL,NULL,11,40259663,NULL,NULL,0,60,11,28/03/2011,-34.601342,-58.385008
19,PLAZA VICENTE LOPEZ,LAS HERAS,1111,NULL,NULL,1111,13,24,CABA,MONTEVIDEO,NULL,11,40273138,NULL,NULL,0,40,11,27/04/2011,-34.593367,-58.389698
20,ONCE,RIVADAVIA,111,NULL,NULL,1111,13,24,CABA,CATAMARCA,NULL,11,11111111,NULL,NULL,0,20,29,21/05/2011,-34.609475,-58.407615
21,PACIFICO,BULLRICH,1111,NULL,NULL,1111,13,24,CABA,SANTA FE,NULL,11,11111111,NULL,NULL,0,30,43,06/06/2011,-34.577468,-58.426158
22,VIRREY CEVALLOS,VIRREY CEVALLOS,1111,NULL,NULL,1111,13,24,CABA,AV. SAN JUAN.,NULL,11,55859403,NULL,NULL,0,35,3,15/06/2011,-34.622755,-58.388947
23,PLAZA HOUSSAY,CORDOBA,1111,NULL,NULL,1111,13,24,CABA,URIBURU,JUNIN,11,40245236,NULL,NULL,0,35,18,29/06/2011,-34.59902,-58.398217
24,PLAZA DE MAYO,DIAGONAL SUR,111,NULL,NULL,1111,13,24,CABA,PERU,NULL,11,11111111,NULL,NULL,0,40,6,03/08/2011,-34.609917,-58.374721
25,PLAZA ALMAGRO,PERON,1111,NULL,NULL,1111,13,24,CABA,BULNES,SALGUERO,11,11111111,NULL,NULL,0,34,5,30/08/2011,-34.605926,-58.419482
26,CMD,VILLARINO,2498,NULL,NULL,1111,13,24,CABA,NULL,NULL,11,11111111,NULL,NULL,0,34,16,06/09/2011,-34.654286,-58.380429
27,INDEPENDENCIA,BERNARDO DE IRIGOYEN,111,NULL,NULL,1111,13,24,CABA,INDEPENDENCIA,NULL,1115,11111111,NULL,NULL,0,34,13,16/09/2011,-34.617908,-58.38047
28,PLAZA SAN MARTIN,AV.SANTA FE,111,NULL,NULL,1111,13,24,CABA,ESMERALDA,ARENALES,1115,11111111,NULL,NULL,0,34,13,16/09/2011,-34.594958,-58.378283
